stkcd,year,实收资本或股本,管理层持股比例,董事会规模,独立董事占比,监事会规模,高管人数,管理层男性占比,管理层平均年龄,机构投资者持股比例,经营活动产生的现金流量净额,购建固定资产无形资产和其他长期资产支付的现金,员工人数,无形资产比率,有形资产比率,营业外收入占比,权益乘数2,总资产净利润率ROAB,净资产收益率ROEB,审计意见类型,审计师,境内审计事务所,审计师是否来自国际四大,审计师是否来自国内十大,境内审计费用金额,审计费用合计,总资产周转率B,董事人数,其中独立董事人数,监管层持股数量,月均超额换手率,上市日期,公司成立日期
1,2010,0.03485014,0.01652892561983471,0.864882135426221,0.75,0.0,1.791759469228055,0.06868829184607086,0.11845170393228256,0.6540427687631456,0.021746295,3.5950799773659927,0.12203,0.0552404956941819,0.975593912397926,0.7412291516663871,0.5665297512746831,0.22897266175739817,1.5368476893416838,标准无保留意见,"张小东,昌华",安永华明会计师事务所,0.0,0.0,0.0501,0.0621,-0.7110048362179334,2.833213344056216,0.43543856234035316,0.026259,0.3545050775850889,1991-04-03,1987-12-22
1,2011,0.0512335,0.010330578512396695,2.306352361136589,0.9999999999999999,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228265,0.8826072161413971,-0.014439373,3.5951272621642616,0.13778,1.0,0.0,0.6509808949865367,0.5651503861803072,0.4765043730116628,0.7646328381575582,标准无保留意见,"张小东,昌华",安永华明会计师事务所,0.0,0.0,0.0759,0.0819,-0.23426265107069544,2.9444389791664403,1.451461874467844,0.026259,0.23323217304783908,1991-04-03,1987-12-22
1,2012,0.0512335,0.010330578512396695,2.306352361136589,0.9999999999999999,0.0,2.1972245773362196,0.06868829184607086,0.11845170393228273,0.8462476269425822,0.185838461,3.5967328023359135,0.24251,0.7685360218441505,0.22327394209354168,0.5633463856312939,0.5650140929283304,0.19524306593813603,0.3549988948953187,标准无保留意见,"昌华,周道君",安永华明会计师事务所(特殊普通合伙),0.0,0.0,0.0957,0.1132,-0.6271011556208127,3.044522437723423,1.451461874467844,0.027125,0.36357295127239314,1991-04-03,1987-12-22
1,2013,0.09521,0.010330578512396695,2.306352361136589,0.9999999999999999,0.0,2.3978952727983707,0.06868829184607086,0.11845170393228276,0.8900948199546624,0.091674,3.597317962761156,0.34724,0.6065952530980887,0.36080178173719446,0.599978300965607,0.5649731263141824,-0.0019662644567448695,0.10282205953842695,标准无保留意见,"姚文平,朱丽平",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.082,0.0958,-0.2298466678813733,2.9444389791664403,1.451461874467844,0.0434,1.0,1991-04-03,1987-12-22
1,2014,0.11425,0.004132231404958678,0.864882135426221,0.75,0.0,2.4849066497880004,0.06868829184607086,0.11845170393228277,0.8716988276712581,0.025321,3.599249320380229,0.35069,0.5085066162570889,0.45415738678535433,0.5385601704360519,0.5645915206333949,0.2708626436619659,0.25145333918085466,标准无保留意见,"姚文平,朱丽平",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.08176,0.09676,0.7482936085534845,3.2188758248682006,2.4674851865953347,0.067869,0.13507920599539974,1991-04-03,1987-12-22
1,2015,0.14309,0.004132231404958678,0.38439206018943173,0.8035553555355536,0.0,2.302585092994046,0.06868829184607086,0.11845170393228278,0.8784751538969325,-0.001826,3.599067134351865,0.37937,0.4156689771056501,0.5362843355605094,0.5413810449071379,0.5642665007368107,0.16368957307495513,0.009076963428800844,标准无保留意见,"姚文平,朱丽平",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.08486,0.10066,1.6428982029903327,2.70805020110221,0.43543856234035316,0.024857,0.5882895273411919,1991-04-03,1987-12-22
1,2016,0.1717,0.004132231404958678,-1.057078165520936,0.8181818181818181,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228278,0.8716067197822159,0.010989,3.5985008209377662,0.36885,0.3392144507456417,0.6122865627319953,0.6095357392959649,0.5637306169436527,-0.11920381121563292,-0.44659928637476626,标准无保留意见,"姚文平,甘莉莉",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.0829,0.0992,1.411243084850474,2.9444389791664403,1.1127874370920137,0.029828,0.0,1991-04-03,1987-12-22
1,2017,0.1717,0.0,0.38439206018943173,0.8035553555355536,0.0,1.6094379124341003,0.06868829184607086,0.11845170393228277,0.9108075815026904,-0.11878,3.598539563211914,0.32502,0.30392774627179164,0.6494988864142499,0.5365480781559766,0.5634974248303884,-0.33654209395426704,-0.7165902168144843,标准无保留意见,"姚文平,甘莉莉",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.0903,0.1066,0.5968621850196459,2.772588722239781,0.43543856234035316,0.029828,0.52114061214309,1991-04-03,1987-12-22
1,2018,0.1717,0.002066115702479339,0.38439206018943173,0.8035553555355536,0.0,1.6094379124341003,0.06868829184607086,0.11845170393228278,0.8843892479390872,-0.057323,3.5996488415207097,0.34626,0.29321571098508725,0.6650890868596946,0.5354927160286821,0.563378216394391,-0.345518518648103,-0.7510452396241256,标准无保留意见,"陈岸强,甘莉莉",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.092,0.1083,0.23695955508989008,2.70805020110221,0.43543856234035316,0.012498,0.5116685418344749,1991-04-03,1987-12-22
1,2019,0.19406,0.002066115702479339,-0.09609801504735752,0.8654365436543654,0.0,1.791759469228055,0.06868829184607086,0.11845170393228284,0.9639295272306754,-0.040025,3.599079212383152,0.34253,0.23251417769376181,0.7190051967334767,0.5448035744227563,0.5625813124857425,-0.2859477002253736,-0.849392761515029,标准无保留意见,"陈岸强,甘莉莉",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.1063,0.1226,0.7170137276291199,2.833213344056216,0.43543856234035316,0.012498,0.4035944190153297,1991-04-03,1987-12-22
1,2020,0.19406,0.002066115702479339,0.864882135426221,0.75,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228287,1.0000000000000002,-0.016161,3.599038842918131,0.38097,0.18105440033606388,0.7628062360801806,0.5165455137246392,0.5618070049474985,-0.4989337770518449,-1.1475758059561403,标准无保留意见,"陈岸强,刘宇峰",普华永道中天会计师事务所(特殊普通合伙),0.0,0.0,0.1103,0.1266,0.6439660057057488,2.772588722239781,0.43543856234035316,0.010104,0.4604815876558969,1991-04-03,1987-12-22
1,2021,0.19406,0.030991735537190087,0.38439206018943173,0.8035553555355536,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228288,0.9805038301530526,-0.192733,3.6003640541486286,0.40651,0.24763705103969755,0.7478656273199675,0.5353546312643632,0.5617541035147129,-0.2655467350121099,-0.9629553615769788,标准无保留意见,"昌华,王阳燕",安永华明会计师事务所(特殊普通合伙),0.0,0.0,0.083,0.098,0.3902309716192801,2.772588722239781,0.43543856234035316,0.286804,0.41868531387955954,1991-04-03,1987-12-22
1,2022,0.19406,0.024793388429752067,-0.09609801504735752,0.3460846084608461,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228287,0.940678681629083,0.134572,3.5990728658364266,0.44207,0.27158160050409585,0.7480512249443194,0.5198891376606468,0.5617316771115218,0.04672403918557755,-0.7105258440203308,标准无保留意见,"昌华,王阳燕",安永华明会计师事务所(特殊普通合伙),0.0,0.0,0.089,0.104,0.1396239256252472,2.833213344056216,0.43543856234035316,0.286804,0.482088631213215,1991-04-03,1987-12-22
1,2023,0.19406,0.014462809917355372,-1.057078165520936,0.8181818181818181,0.0,1.791759469228055,0.06868829184607086,0.11845170393228291,0.8579696350992476,0.092461,3.5987633187854344,0.43119,0.24889729048519224,0.7642910170749815,0.5222563050489707,0.5614163451141161,-0.053920722533189414,-0.8409098590946353,标准无保留意见,"昌华,王阳燕",安永华明会计师事务所(特殊普通合伙),0.0,0.0,0.0975,0.1125,-0.6342771283034614,2.8903717578961645,1.1127874370920137,0.236804,0.40104522258724706,1991-04-03,1987-12-22
1,2024,0.19406,0.010330578512396695,-0.09609801504735752,0.8654365436543654,-1.0,1.6094379124341003,0.06868829184607086,0.11845170393228292,0.8925638230914492,0.063336,3.598133742561535,0.41011,0.22705314009661837,0.7779324424647456,0.4738082791679406,0.56110760093942,-0.23861746093060224,-1.0285805385994278,标准无保留意见,"昌华,王阳燕",安永华明会计师事务所(特殊普通合伙),0.0,1.0,0.0894,0.1044,-1.804512673473833,2.772588722239781,0.7741129997161834,0.1327,0.5608781251236414,1991-04-03,1987-12-22
